0;9999949
100;9999949
200;9999949
300;220
400;220
500;220
600;220
700;220
800;220
900;220
1000;220
1100;220
1200;220
1300;220
1400;220
1500;220
1600;220
1700;220
1800;220
1900;220
2000;220
2100;220
2200;220
2300;220
2400;220
2500;220
2600;220
2700;220
2800;220
2900;220
3000;220
3100;220
3200;220
3300;220
3400;220
3500;220
3600;220
3700;220
3800;220
3900;220
4000;220
4100;220
4200;220
4300;220
4400;220
4500;220
4600;220
4700;220
4800;220
4900;220
5000;220
5100;220
5200;220
5300;220
5400;220
5500;220
5600;220
5700;220
5800;220
5900;220
6000;220
6100;220
6200;220
6300;220
6400;220
6500;220
6600;220
6700;220
6800;220
6900;220
7000;220
7100;220
7200;220
7300;220
7400;220
7500;220
7600;220
7700;220
7800;220
7900;220
8000;220
8100;220
8200;220
8300;220
8400;220
8500;220
8600;220
8700;220
8800;220
8900;220
9000;220
9100;220
9200;220
9300;220
9400;220
9500;220
9600;220
9700;220
9800;220
9900;220
10000;220
10100;220
10200;220
10300;220
10400;220
10500;220
10600;220
10700;220
10800;220
10900;220
11000;220
11100;220
11200;220
11300;220
11400;220
11500;220
11600;220
11700;220
11800;220
11900;220
12000;220
12100;220
12200;220
12300;220
12400;220
12500;220
12600;220
12700;220
12800;220
12900;220
13000;220
13100;220
13200;220
13300;220
13400;220
13500;220
13600;220
13700;220
13800;220
13900;220
14000;220
14100;220
14200;220
14300;220
14400;220
14500;220
14600;220
14700;220
14800;220
14900;220
15000;220
15100;220
15200;220
15300;220
15400;220
15500;220
15600;220
15700;220
15800;220
15900;220
16000;220
16100;220
16200;220
16300;220
16400;220
16500;220
16600;220
16700;220
16800;220
16900;220
17000;220
17100;220
17200;220
17300;220
17400;220
17500;220
17600;220
17700;220
17800;220
17900;220
18000;220
18100;220
18200;220
18300;220
18400;220
18500;220
18600;220
18700;220
18800;220
18900;220
19000;220
19100;220
19200;220
19300;220
19400;220
19500;220
19600;220
19700;220
19800;220
19900;220
